id;name;department;municipality;years_works;type_person;rol
66;Luis Bayardo Pineda Diaz;META;VILLAVICENCIO;11;PREFERENTE;POLITICO
67;Jose Gregorio Vergara Ruiz;META;VILLAVICENCIO;13;PREFERENTE;ACTOR
68;Jose De Jesus Velandia Velandia;CUNDINAMARCA;CAJICA;2;PREFERENTE;POLITICO
69;William Garcia Tirado;BOLIVAR;CARTAGENA;0;NO APLICA;ACTOR
70;German Montes Pedrozo;BOLIVAR;MARGARITA;0;NO APLICA;POLITICO
71;Carlos Lince Lerma;BOLIVAR;MARGARITA;5;PREFERENTE;CANTANTE
72;Cesar Augusto Contreras Niño;BOYACA;GUATEQUE;0;NO APLICA;ACTOR
73;Horacio Garcia Medina;SANTANDER;BOLIVAR;4;PREFERENTE;POLITICO
74;Moises Ripoll Manjarrez;BOLIVAR;CLEMENCIA;1;PREFERENTE;CANTANTE
75;Juan Alberto Garcia Estrada;ATLANTICO;NO APLICA;0;NO APLICA;CANTANTE
76;Irene Esther Salcedo Malarriaga;SUCRE;TOLU;10;PREFERENTE;POLITICO
77;Jose Alvaro Obando Tabora;CALDAS;PALESTINA;1;PREFERENTE;POLITICO
78;Lida Estrada Mojica;META;GRANADA;2;PREFERENTE;CANTANTE
79;Luz Mary Carmona Rodas;META;GRANADA;3;PREFERENTE;ACTOR
80;Irene Patricia Tovio Martinez;SUCRE;SAN_BENITO_ABAD;9;PREFERENTE;POLITICO
81;Libia Rocio Pinzon Bautista;CUNDINAMARCA;GIRARDOT;11;PREFERENTE;OTRO
82;Mario Gilberto Absil Herrera;META;ACACIAS;2;PREFERENTE;POLITICO
83;Angel Gonzalo Saavedra;META;ACACIAS;8;PREFERENTE;CANTANTE
84;Rubiela Figueroa Valencia;META;ACACIAS;15;PREFERENTE;POLITICO
85;Ines Florez Rodriguez;BOLIVAR;ARENAL;6;PREFERENTE;CANTANTE
86;Ruben Dario Cardona Salamanca;VALLE;NO APLICA;54;PREFERENTE;POLITICO
87;Isabel Chasoy Chindoy;VALLE;NO APLICA;59;PREFERENTE;POLITICO
88;Jose Guillermo Mora Moreno;META;GUAMAL;6;PREFERENTE;ACTOR
89;Enrique Antonio Escobar Ruiz;ATLANTICO;REPELON;0;NO APLICA;OTRO
90;Jorge Andres Malagon Campuzano;TOLIMA;MARIQUITA;3;PREFERENTE;ACTOR
91;Luis Felipe Lozano Amaya;TOLIMA;MARIQUITA;5;PREFERENTE;POLITICO
92;Deysi Andrea Arcia Salazar;ANTIOQUIA;CAREPA;9;PREFERENTE;POLITICO
93;Oscar Enrique Espitia Urango;ANTIOQUIA;CAREPA;10;PREFERENTE;OTRO
94;Elfrin Antonio Escobar Moreno;ANTIOQUIA;CAREPA;11;PREFERENTE;CANTANTE
95;Luis Eduardo Ortega Escobar;ATLANTICO;REPELON;1;PREFERENTE;OTRO
96;Jair Morales Jaramillo;QUINDIO;NO APLICA;53;PREFERENTE;POLITICO
97;Adilson Yair Prado Lara;NARIÑO;NO APLICA;64;PREFERENTE;CANTANTE
98;Angy Tatiana Arce Redondo;META;LEJANIAS;3;PREFERENTE;CANTANTE
99;Derlin Lider Gomez;META;LEJANIAS;9;PREFERENTE;CANTANTE
100;Gonzalo Ramirez Gaitan;CUNDINAMARCA;CAPARRAPI;0;NO APLICA;POLITICO
101;Pedro Antonio Palacios Fonseca;CUNDINAMARCA;GACHANCIPA;11;PREFERENTE;POLITICO
102;Carlos Andres Amaya Rodriguez;BOYACA;NO APLICA;0;NO APLICA;POLITICO
103;Gustavo Alonso Nuñez Guerrero;NARIÑO;PASTO;0;NO APLICA;POLITICO
104;Jadimir Gutierrez Franco;BOLIVAR;REGIDOR;0;NO APLICA;POLITICO
105;Miguel Antonio Camacho Ariza;TOLIMA;MARIQUITA;11;PREFERENTE;POLITICO
106;Joanis Morato Escandon;BOLIVAR;REGIDOR;7;PREFERENTE;POLITICO
107;Merida Duran Muñoz;BOLIVAR;REGIDOR;9;PREFERENTE;CANTANTE
108;Marta Nelly Cardona Tobon;ANTIOQUIA;SAN_PEDRO;0;NO PREFERENTE;POLITICO
109;Martha Cecilia Tamayo Tamayo;ANTIOQUIA;SAN_PEDRO;0;NO PREFERENTE;ACTOR
110;Anderson Perez Lujan;ANTIOQUIA;SAN_PEDRO;0;NO PREFERENTE;POLITICO
111;Ana Yibe Figueroa Trujillo;HUILA;NEIVA;14;PREFERENTE;ACTOR
112;Juan Camilo Muñoz Losada;HUILA;NEIVA;18;PREFERENTE;OTRO
113;Eduardo Herrera Oyola;HUILA;NEIVA;19;PREFERENTE;OTRO
114;Rubian Lopez Santa;VALLE;RIOFRIO;8;PREFERENTE;POLITICO
115;Carlos Aarturo Lizarazo Goyeneche;BOYACA;SOGAMOSO;3;PREFERENTE;OTRO
116;Alcira Macias Hernandez;BOYACA;SOGAMOSO;8;PREFERENTE;CANTANTE
117;Gloria Patricia Torres Lopez;BOYACA;SOGAMOSO;12;PREFERENTE;POLITICO
118;Hector Manuel Barrera Garacia;BOYACA;SOGAMOSO;17;PREFERENTE;POLITICO
119;Nelson Martinez Escobar;ANTIOQUIA;MEDELLIN;3;PREFERENTE;POLITICO
120;Juan Jose Roldan David;ANTIOQUIA;MEDELLIN;11;PREFERENTE;OTRO
121;Martin Antonio Benavides Vasquez;ANTIOQUIA;MEDELLIN;16;PREFERENTE;CANTANTE
122;Jhonny Alberto Narvaez Mercado;CORDOBA;PUERTO_ESCONDIDO;12;PREFERENTE;POLITICO
123;Leonardo Mosquera Lozano;VALLE;BUENAVENTURA;11;PREFERENTE;ACTOR
124;Pedro Pablo Cortes Quiñonez;VALLE;BUENAVENTURA;12;PREFERENTE;POLITICO
125;Kely Jhoana Hurtado Granja;VALLE;BUENAVENTURA;17;PREFERENTE;ACTOR
126;Filiberto Montaño Garcia;VALLE;BUENAVENTURA;18;PREFERENTE;ACTOR
127;Javier Aristides Guerra Castillo;ANTIOQUIA;PUERTO_TRIUNFO;0;NO APLICA;CANTANTE
128;Andrea Milena Espy Carvajal;CASANARE;PAZ_DE_ARIPORO_(MORENO);1;PREFERENTE;CANTANTE
129;Nilson Ramirez Chavez;CASANARE;PAZ_DE_ARIPORO_(MORENO);8;PREFERENTE;POLITICO
130;Marcos Antonio Perez Chavez;BOLIVAR;PINILLOS;0;NO APLICA;POLITICO
131;Hernan Isaias Ibarra Monsalve;CUNDINAMARCA;COTA;2;PREFERENTE;OTRO
132;Cesar Andres Contreras Millan;VALLE;TULUA;15;PREFERENTE;ACTOR
133;Ramiro De Jesus Tamayo Rivera;ANTIOQUIA;GUATAPE;0;NO PREFERENTE;POLITICO
134;Carlos Andres Arias Rueda;VALLE;CALI;7;PREFERENTE;POLITICO
135;Carlos Armando Burbano Rodriguez;VALLE;CALI;10;PREFERENTE;CANTANTE
136;Margie Alejandra Alvarado Cardona;VALLE;CALI;16;PREFERENTE;POLITICO
137;Merly Restrepo Tafur;VALLE;CALI;19;PREFERENTE;POLITICO
138;Juan Jairo Quintero Ramirez;TOLIMA;LERIDA;5;PREFERENTE;CANTANTE
139;Jose Maria Domico Nuñetones;ANTIOQUIA;DABEIBA;5;PREFERENTE;POLITICO
140;Fabiola Pulido Riaño;VALLE;BOLIVAR;1;PREFERENTE;POLITICO
141;Luis Vladimir Peñaloza Fuentes;CESAR;AGUSTIN_CODAZZI;0;NO APLICA;POLITICO
142;Leoncio Libreros Pava;VALLE;SAN_PEDRO;1;PREFERENTE;CANTANTE
143;Jose Fernando Saavedra Guevara;VALLE;SAN_PEDRO;5;PREFERENTE;POLITICO
144;Vanessa Elvia Torres Cuette;ATLANTICO;CAMPO_DE_LA_CRUZ;4;PREFERENTE;CANTANTE
145;Mario Alfredo Salas Eguis;ATLANTICO;CAMPO_DE_LA_CRUZ;8;PREFERENTE;POLITICO
146;Ruben Hernando Aguirre Gomez;BOLIVAR;MARIA_LA_BAJA;0;NO APLICA;POLITICO
147;David Antonio Niebles Camargo;ATLANTICO;MALAMBO;14;PREFERENTE;POLITICO
148;Diego Alejandro Gomez Martinez;ANTIOQUIA;RIONEGRO;13;PREFERENTE;CANTANTE
149;Roberto Carlos Rodriguez Arias;ATLANTICO;BARANOA;0;NO APLICA;POLITICO
150;Antonio Montaño Orobio;CAUCA;GUAPI;0;NO APLICA;POLITICO
151;Robinson Hernandez Hernandez;VALLE;YOTOCO;10;PREFERENTE;CANTANTE
152;Angela Triana Narvaez;TOLIMA;SAN_LUIS;2;PREFERENTE;OTRO
153;Tery Luz Zapata Maza;BOLIVAR;SAN_CRISTOBAL;1;PREFERENTE;POLITICO
154;Pedro Antonio Sanjuan Matos;BOLIVAR;SAN_CRISTOBAL;4;PREFERENTE;POLITICO
155;Luis Ignacio Gomez Charris;ATLANTICO;PALMAR_DE_VARELA;6;PREFERENTE;POLITICO
156;Martha Cecilia Escorcia Buzon;ATLANTICO;PALMAR_DE_VARELA;12;PREFERENTE;OTRO
157;Lusdaris Bayona Marin;SANTANDER;BUCARAMANGA;4;PREFERENTE;CANTANTE
158;Yuly Ariza Obregon;SANTANDER;BUCARAMANGA;17;PREFERENTE;CANTANTE
159;Paula Marcela Osorio Osorio;CALDAS;NO APLICA;51;PREFERENTE;POLITICO
160;Dagoberto Luna Orozco;ATLANTICO;POLONUEVO;0;NO APLICA;OTRO
161;Rosa Cotes De Zuñiga;MAGDALENA;NO APLICA;0;NO APLICA;ACTOR
162;Andres Felipe Sanchez Valdes;ANTIOQUIA;CAROLINA;2;PREFERENTE;OTRO
163;Yerson Oswaldo Campos Diaz;ARAUCA;ARAUQUITA;6;PREFERENTE;POLITICO
164;Carlos Andres Romero Ochoa;CORDOBA;LOS_CORDOBAS;0;NO APLICA;POLITICO
165;Liliana Margot Echeverri Rios;ANTIOQUIA;LA_UNION;5;PREFERENTE;OTRO
166;Vladimir Garcia Palomo;TOLIMA;ARMERO_(GUAYABAL);2;PREFERENTE;POLITICO
167;Keterine Yulieth Maca Melenge;CAUCA;PURACE_(COCONUCO);1;PREFERENTE;OTRO
168;Liborio Quira Caldon;CAUCA;PURACE_(COCONUCO);9;PREFERENTE;OTRO
169;Hermes Matildo Colon Rocha;SUCRE;TOLUVIEJO;0;NO APLICA;POLITICO
170;Jorge Albeiro Bolivar Petro;ANTIOQUIA;ARBOLETES;3;PREFERENTE;OTRO
171;Jorge Eliecer Barreto Lozano;ANTIOQUIA;ARBOLETES;7;PREFERENTE;CANTANTE
172;Lina Alejandra Ramos Mendoza;ANTIOQUIA;ARBOLETES;10;PREFERENTE;CANTANTE
173;Milton Israel Escobar Colmenares;CASANARE;TRINIDAD;3;PREFERENTE;ACTOR
174;Julio Cesar Ceron Melendez;CORDOBA;MONTERIA;2;PREFERENTE;CANTANTE
175;Milad Jalal Pastrana;CORDOBA;MONTERIA;7;PREFERENTE;POLITICO
176;Juan Gabriel Ortega Moncada;NORTE_DE_SANTANDER;CUCUTA;8;PREFERENTE;CANTANTE
177;Dauguir Antonio Rematozo Gonzalez;MAGDALENA;SITIONUEVO;0;NO PREFERENTE;OTRO
178;Ruby Maria Gutierrez Morales;MAGDALENA;SITIONUEVO;0;NO PREFERENTE;POLITICO
179;Freddys Alfonso Echeverry Torregrosa;MAGDALENA;SITIONUEVO;0;NO PREFERENTE;POLITICO
180;Pedro Leonardo Clavijo Patiño;CUNDINAMARCA;COTA;5;PREFERENTE;OTRO
181;Maximino Guerrero Garcia;CUNDINAMARCA;COTA;8;PREFERENTE;POLITICO
182;Clara Andrea Martinez Chavarro;CUNDINAMARCA;COTA;10;PREFERENTE;CANTANTE
183;Gloria Elsy Acosta Castro;CUNDINAMARCA;COTA;11;PREFERENTE;POLITICO
184;Jhon Jairo Sinisterra Sinisterra;VALLE;CANDELARIA;3;PREFERENTE;ACTOR
185;Castulo Anibal Acosta Muñoz;VALLE;CANDELARIA;5;PREFERENTE;ACTOR
186;Brenda Lisbeth Chavez Garcia;ARAUCA;ARAUCA;6;PREFERENTE;OTRO
187;Carlos Raul Suarez Castellanos;ARAUCA;ARAUCA;12;PREFERENTE;POLITICO
188;Luis Ramiro Ortega Andrade;NARIÑO;PROVIDENCIA;4;PREFERENTE;OTRO
189;Ubadel Jose Goez Hernandez;SUCRE;SAN_JUAN_DE_BETULIA_(BETULIA);4;PREFERENTE;CANTANTE
190;Leydi Maria Marchan Ortega;SUCRE;SAN_JUAN_DE_BETULIA_(BETULIA);8;PREFERENTE;POLITICO
191;Juan Carlos Micolta Escobar;VALLE;JAMUNDI;4;PREFERENTE;POLITICO
192;Nestor Fernando Zuluaga Giraldo;ANTIOQUIA;CARMEN_DE_VIBORAL;0;NO APLICA;CANTANTE
193;Alberto Martinez Martinez;MAGDALENA;SAN_ZENON;0;NO APLICA;POLITICO
194;Wilson Cifuentes;CASANARE;PAZ_DE_ARIPORO_(MORENO);1;PREFERENTE;POLITICO
195;Luis Hermides Galindo Diaz;CASANARE;PAZ_DE_ARIPORO_(MORENO);4;PREFERENTE;CANTANTE
196;Dumas Fernando Rodriguez Giraldo;BOLIVAR;SAN_PABLO;7;PREFERENTE;OTRO
197;Cesar Guerrero Garcia;BOLIVAR;SAN_PABLO;8;PREFERENTE;CANTANTE
198;Vicente Antonio Hurtado Monsalve;ANTIOQUIA;FREDONIA;0;NO APLICA;ACTOR
199;Luz Adriana Ramirez Perez;TOLIMA;FRESNO;7;PREFERENTE;CANTANTE
200;Edwin Arango Villegas;TOLIMA;FRESNO;12;PREFERENTE;POLITICO
201;Yenny Salazar Prada;BOYACA;COVARACHIA;7;PREFERENTE;CANTANTE
202;Luis Egidio Tirado Ortiz;SANTANDER;AGUADA;2;PREFERENTE;CANTANTE
203;Maria Del Carmen Diaz Zarza;SUCRE;TOLU;12;PREFERENTE;POLITICO
204;Rafael Angel Viloria De La Hoz;ATLANTICO;TUBARA;10;PREFERENTE;OTRO
205;Henry Sanchez Quintero;HUILA;CAMPOALEGRE;0;NO PREFERENTE;CANTANTE
206;Karol Yiseth Medina Santana;HUILA;CAMPOALEGRE;0;NO PREFERENTE;POLITICO
207;Ruben Dario Acevedo Colorado;ANTIOQUIA;ENVIGADO;4;PREFERENTE;POLITICO
208;Henry Eduardo Osorio Ospina;ANTIOQUIA;ENVIGADO;12;PREFERENTE;POLITICO
209;Laura Mejia Restrepo;ANTIOQUIA;ENVIGADO;14;PREFERENTE;ACTOR
210;Maria Elisa Montañez Parra;BOYACA;SAN_EDUARDO;0;NO APLICA;POLITICO
211;German Valencia Osorio;CALDAS;MANZANARES;3;PREFERENTE;CANTANTE
212;Julia Elvira Moreno Cordoba;ANTIOQUIA;MEDELLIN;2;PREFERENTE;POLITICO
213;Robinson Adrian Sepulveda Zapata;ANTIOQUIA;MEDELLIN;5;PREFERENTE;CANTANTE
214;Dimas Padilla Renteria;ANTIOQUIA;APARTADO;11;PREFERENTE;POLITICO
215;Mario Jenry Juvinao Diaz;MAGDALENA;CIENAGA;5;PREFERENTE;POLITICO
216;Ibrahim Fernando Fernandez Valencia;MAGDALENA;CIENAGA;8;PREFERENTE;POLITICO
217;Nestor Cardozo Perez;META;URIBE;5;PREFERENTE;POLITICO
218;Yon Fredy Porras Carvajal;META;SAN_MARTIN_DE_LOS_LLANOS;1;PREFERENTE;CANTANTE
219;Salvador Molina Saavedra;SANTANDER;FLORIDABLANCA;1;PREFERENTE;POLITICO
220;Jorge Antonio Barros Gnecco;CESAR;NO APLICA;51;PREFERENTE;ACTOR
221;Johana Marcela Lopez;ANTIOQUIA;SAN_ROQUE;4;PREFERENTE;OTRO
222;Pedro Manuel Blanco Campo;SUCRE;SAN_ONOFRE;4;PREFERENTE;POLITICO
223;Marcos Perez Jimenez;VICHADA;PUERTO_CARREÑO;0;NO APLICA;CANTANTE
224;Edgar Santos Enciso;META;SAN_MARTIN_DE_LOS_LLANOS;2;PREFERENTE;ACTOR
225;Jose Ilario Gaitan Garcia;PUTUMAYO;SAN_MIGUEL_(LA_DORADA);10;PREFERENTE;OTRO
226;Elizabeth Ortiz Mosquera;SANTANDER;CIMITARRA;11;PREFERENTE;OTRO
227;Maria Eugenia Mercado Naranjo;ANTIOQUIA;TARAZA;2;PREFERENTE;CANTANTE
228;Claudia Ines Cabrera Tarazona;NARIÑO;POLICARPA;0;NO APLICA;OTRO
229;Jose Humberto Soto Soto;VALLE;GUACARI;6;PREFERENTE;CANTANTE
230;Mauricio Jaramillo Martinez;CALDAS;PALESTINA;0;NO APLICA;ACTOR
231;Maria Alejandra Jimenez Ballesteros;ANTIOQUIA;VENECIA;7;PREFERENTE;OTRO
232;Parra Ospino Kelly Karolay;BOLIVAR;SOPLAVIENTO;5;PREFERENTE;OTRO
233;Consuelo Guerrero Vallejo;TOLIMA;VILLARRICA;1;PREFERENTE;CANTANTE
234;Yury Alexandra Cardenas Gonzalez;TOLIMA;VILLARRICA;2;PREFERENTE;OTRO
235;Sandra Milena Ceballos Gomez;CALDAS;PALESTINA;4;PREFERENTE;POLITICO
236;Edinson Palomino Banguero;ARAUCA;NO APLICA;51;PREFERENTE;OTRO
237;Walberto Berdugo Arellanos;ARAUCA;NO APLICA;56;PREFERENTE;OTRO
238;Wiliam Ardila Leal;SANTANDER;GALAN;7;PREFERENTE;ACTOR
239;Ana Milena Yumayuza Cano;CALDAS;LA_DORADA;0;NO APLICA;POLITICO
240;Orlando Cristancho Olarte;TOLIMA;ICONONZO;9;PREFERENTE;POLITICO
241;Luis Rafael Bustos Espinosa;CUNDINAMARCA;NOCAIMA;0;NO APLICA;CANTANTE
242;Jimmy Adrian Galvis Gonzalez;CALDAS;MANIZALES;8;PREFERENTE;POLITICO
243;Diego Armando Lopez Aristizabal;CALDAS;MANIZALES;9;PREFERENTE;POLITICO
244;Jorge Hugo Muñoz Cuervo;CALDAS;MANIZALES;14;PREFERENTE;CANTANTE
245;Emma Rosario Lucero Rivera;NARIÑO;PUPIALES;6;PREFERENTE;POLITICO
246;Yadira Alexandra Guerrero Bolaños;NARIÑO;PUPIALES;9;PREFERENTE;POLITICO
247;Guillermo Bayardo Usamag;NARIÑO;PUPIALES;10;PREFERENTE;POLITICO
248;Jenny Maria Lopez Fernandez;CAUCA;SANTANDER_DE_QUILICHAO;2;PREFERENTE;CANTANTE
249;Jose Del Carmen Bello Diaz;BOLIVAR;CANTAGALLO;3;PREFERENTE;POLITICO
250;Ramiro Ducuara Vera;TOLIMA;COYAIMA;2;PREFERENTE;OTRO
251;Virginia Preciado;NARIÑO;LA_TOLA;2;PREFERENTE;OTRO
252;Wilson Olaya Anchico;NARIÑO;LA_TOLA;9;PREFERENTE;ACTOR
253;Sandra Eugenia Laverde;VALLE;SAN_PEDRO;11;PREFERENTE;OTRO
254;Lino Hernan Ortiz Reyes;CASANARE;MANI;5;PREFERENTE;OTRO
255;Rosa Maday Gutierrez;CASANARE;MANI;8;PREFERENTE;CANTANTE
256;Bryan Alejandro Castro Parrado;ARAUCA;SARAVENA;10;PREFERENTE;POLITICO
257;Abimael Perez Alvarez;NORTE_DE_SANTANDER;HACARI;7;PREFERENTE;OTRO
258;Teofilo Ancelmo Enriquez Dominguez;NARIÑO;BUESACO;3;PREFERENTE;ACTOR
259;Luz Marina Males Cabrera;NARIÑO;BUESACO;11;PREFERENTE;OTRO
260;Ana Bertilda Garcia Mejia;CESAR;TAMALAMEQUE;8;PREFERENTE;CANTANTE
261;Edith Catalina Villero Vergara;CESAR;VALLEDUPAR;2;PREFERENTE;POLITICO
262;Erwin Alonso Quintero Riveira;CESAR;VALLEDUPAR;14;PREFERENTE;CANTANTE
263;Jesus Andres Mora Duque;RISARALDA;SANTA_ROSA_DE_CABAL;4;PREFERENTE;CANTANTE
264;Karen Alicia Gomez Ortiz;LA_GUAJIRA;HATONUEVO;4;PREFERENTE;POLITICO
265;Sheila Gianinna Montero Ferrer;ATLANTICO;SOLEDAD;17;PREFERENTE;CANTANTE
266;Cindy Yohana Ocampo Zapata;RISARALDA;QUINCHIA;7;PREFERENTE;OTRO
267;Ruben Dario Rodriguez Gongora;TOLIMA;IBAGUE;0;NO APLICA;ACTOR
268;Eduardo Ignacio Verano De La Rosa;ATLANTICO;NO APLICA;0;NO APLICA;OTRO
269;Elizabeth Marulanda Pinzon;QUINDIO;PIJAO;2;PREFERENTE;CANTANTE
270;Wilson Uriel Jimenez Gamez;CASANARE;MONTERREY;7;PREFERENTE;CANTANTE
271;Tatiana Gonzalez Modera;CASANARE;MONTERREY;9;PREFERENTE;POLITICO
272;Flor Yulieth Muegue Carnenas;LA_GUAJIRA;VILLANUEVA;7;PREFERENTE;CANTANTE
273;Maryori Monroy Acero;TOLIMA;LIBANO;8;PREFERENTE;POLITICO
274;Maria Victoria Buenaventura Guzman;CUNDINAMARCA;FUNZA;5;PREFERENTE;ACTOR
275;Walter Alonso Bolivar Munera;ANTIOQUIA;ENVIGADO;0;NO PREFERENTE;CANTANTE
276;Gloria Emilse Medina Arredondo;ANTIOQUIA;ENVIGADO;0;NO PREFERENTE;CANTANTE
277;Camilo Jose Toro Gonzalez;ANTIOQUIA;ENVIGADO;0;NO PREFERENTE;CANTANTE
278;Gladys Mancipe Cabezas;ANTIOQUIA;YONDO_CASABE;0;NO APLICA;OTRO
